decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
245,221,2,9,0,1,378.9637075089475,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
246,222,0,11,0,1,378.9637075089475,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
247,222,2,12,1,0,,378.9637075089475,374.64879271711806,,,
248,223,1,12,0,0,457.7570711511822,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
249,224,2,12,0,0,379.89997027941786,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
250,225,0,11,0,0,424.59740463402636,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
251,226,0,11,0,1,378.9637075089475,378.9637075089475,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
252,227,0,9,0,1,379.1637075089474,379.1637075089474,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
253,228,2,11,0,1,380.76370750894745,380.76370750894745,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
254,229,0,9,0,1,379.86370750894747,379.86370750894747,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
255,230,2,9,0,1,379.22076942350986,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
256,231,0,10,0,0,399.2385927392052,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
257,232,2,9,0,0,381.3055218216828,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
258,233,1,11,0,0,391.1327846831717,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
259,234,0,12,0,0,409.11685960551154,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
260,235,0,10,0,1,380.25275007611066,380.25275007611066,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
261,236,0,12,0,0,391.52504001073873,380.25275007611066,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
262,237,1,12,0,1,379.22076942350986,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
263,238,1,11,0,0,413.85429911430725,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
264,239,2,12,0,0,396.68279177022026,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
265,240,2,8,0,0,388.82076942350983,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
266,241,1,12,0,0,402.04133699548333,379.22076942350986,374.64879271711806,1.1360100598793208,0.8536075241494507,1.2094292463007217
